lichess_id,url,fen,pgn,accuracy,evaluation,ECO,opening_name,player_color,score
https://lichess.org/NiEradJV,https://lichess.org/NiEradJV#1,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e2e4,75,27,C00,French Defense: Queen's Knight,White,1.0
https://lichess.org/NiEradJV,https://lichess.org/NiEradJV#2,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e7e6,100,52,C00,French Defense: Queen's Knight,White,1.0
https://lichess.org/NiEradJV,https://lichess.org/NiEradJV#3,rnbqkbnr/pppp1ppp/4p3/8/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2,b1c3,100,37,C00,French Defense: Queen's Knight,White,1.0
https://lichess.org/NiEradJV,https://lichess.org/NiEradJV#4,rnbqkbnr/ppp2ppp/4p3/3p4/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 3,d7d5,100,40,C00,French Defense: Queen's Knight,White,1.0
https://lichess.org/NiEradJV,https://lichess.org/NiEradJV#5,rnbqkbnr/ppp2ppp/4p3/3P4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq - 0 3,e4d5,75,4,C00,French Defense: Queen's Knight,White,1.0
https://lichess.org/NiEradJV,https://lichess.org/NiEradJV#6,rnbqkbnr/ppp2ppp/8/3p4/8/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 4,e6d5,100,8,C00,French Defense: Queen's Knight,White,1.0
https://lichess.org/NiEradJV,https://lichess.org/NiEradJV#7,rnbqkbnr/ppp2ppp/8/3p4/3P4/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 4,d2d4,100,5,C00,French Defense: Queen's Knight,White,1.0
https://lichess.org/NiEradJV,https://lichess.org/NiEradJV#8,rnbqkbnr/pp3ppp/2p5/3p4/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 5,c7c6,100,28,C00,French Defense: Queen's Knight,White,1.0
https://lichess.org/NiEradJV,https://lichess.org/NiEradJV#9,rnbqkbnr/pp3ppp/2p5/3p4/3P4/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 1 5,g1f3,100,15,C00,French Defense: Queen's Knight,White,1.0
https://lichess.org/NiEradJV,https://lichess.org/NiEradJV#10,rnbqk1nr/pp3ppp/2pb4/3p4/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 2 6,f8d6,100,16,C00,French Defense: Queen's Knight,White,1.0
https://lichess.org/NiEradJV,https://lichess.org/NiEradJV#11,rnbqk1nr/pp3ppp/2pb4/3p4/3P4/2NB1N2/PPP2PPP/R1BQK2R b KQkq - 3 6,f1d3,100,33,C00,French Defense: Queen's Knight,White,1.0
https://lichess.org/NiEradJV,https://lichess.org/NiEradJV#12,rnbqk2r/pp2nppp/2pb4/3p4/3P4/2NB1N2/PPP2PPP/R1BQK2R w KQkq - 4 7,g8e7,100,41,C00,French Defense: Queen's Knight,White,1.0
https://lichess.org/NiEradJV,https://lichess.org/NiEradJV#13,rnbqk2r/pp2nppp/2pb4/3p4/3P4/2NB1N2/PPP2PPP/R1BQ1RK1 b kq - 5 7,e1g1,75,3,C00,French Defense: Queen's Knight,White,1.0
https://lichess.org/NiEradJV,https://lichess.org/NiEradJV#14,rnbq1rk1/pp2nppp/2pb4/3p4/3P4/2NB1N2/PPP2PPP/R1BQ1RK1 w - - 6 8,e8g8,0,285,C00,French Defense: Queen's Knight,White,1.0
https://lichess.org/NiEradJV,https://lichess.org/NiEradJV#15,rnbq1rk1/pp2nppp/2pb4/3p4/3P4/2NB1N1P/PPP2PP1/R1BQ1RK1 b - - 0 8,h2h3,0,-1,C00,French Defense: Queen's Knight,White,1.0
https://lichess.org/NiEradJV,https://lichess.org/NiEradJV#16,rn1q1rk1/pp2nppp/2pb4/3p1b2/3P4/2NB1N1P/PPP2PP1/R1BQ1RK1 w - - 1 9,c8f5,25,84,C00,French Defense: Queen's Knight,White,1.0
https://lichess.org/NiEradJV,https://lichess.org/NiEradJV#17,rn1q1rk1/pp2nppp/2pb4/3p1B2/3P4/2N2N1P/PPP2PP1/R1BQ1RK1 b - - 0 9,d3f5,25,-13,C00,French Defense: Queen's Knight,White,1.0
https://lichess.org/NiEradJV,https://lichess.org/NiEradJV#18,rn1q1rk1/pp3ppp/2pb4/3p1n2/3P4/2N2N1P/PPP2PP1/R1BQ1RK1 w - - 0 10,e7f5,75,30,C00,French Defense: Queen's Knight,White,1.0
https://lichess.org/NiEradJV,https://lichess.org/NiEradJV#19,rn1q1rk1/pp3ppp/2pb4/3p1nB1/3P4/2N2N1P/PPP2PP1/R2Q1RK1 b - - 1 10,c1g5,50,-32,C00,French Defense: Queen's Knight,White,1.0
https://lichess.org/NiEradJV,https://lichess.org/NiEradJV#20,rn1q1rk1/pp4pp/2pb1p2/3p1nB1/3P4/2N2N1P/PPP2PP1/R2Q1RK1 w - - 0 11,f7f6,75,-2,C00,French Defense: Queen's Knight,White,1.0
https://lichess.org/kzOnUyGZ,https://lichess.org/kzOnUyGZ#1,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e2e4,75,27,B15,Caro-Kann Defense: Tartakower Variation,White,0.0
https://lichess.org/kzOnUyGZ,https://lichess.org/kzOnUyGZ#2,rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,c7c6,75,57,B15,Caro-Kann Defense: Tartakower Variation,White,0.0
https://lichess.org/kzOnUyGZ,https://lichess.org/kzOnUyGZ#3,rnbqkbnr/pp1ppppp/2p5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,d2d4,100,34,B15,Caro-Kann Defense: Tartakower Variation,White,0.0
https://lichess.org/kzOnUyGZ,https://lichess.org/kzOnUyGZ#4,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,d7d5,100,34,B15,Caro-Kann Defense: Tartakower Variation,White,0.0
https://lichess.org/kzOnUyGZ,https://lichess.org/kzOnUyGZ#5,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3,b1c3,100,26,B15,Caro-Kann Defense: Tartakower Variation,White,0.0
https://lichess.org/kzOnUyGZ,https://lichess.org/kzOnUyGZ#6,rnbqkbnr/pp2pppp/2p5/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,d5e4,100,31,B15,Caro-Kann Defense: Tartakower Variation,White,0.0
https://lichess.org/kzOnUyGZ,https://lichess.org/kzOnUyGZ#7,rnbqkbnr/pp2pppp/2p5/8/3PN3/8/PPP2PPP/R1BQKBNR b KQkq - 0 4,c3e4,100,28,B15,Caro-Kann Defense: Tartakower Variation,White,0.0
https://lichess.org/kzOnUyGZ,https://lichess.org/kzOnUyGZ#8,rnbqkb1r/pp2pppp/2p2n2/8/3PN3/8/PPP2PPP/R1BQKBNR w KQkq - 1 5,g8f6,100,21,B15,Caro-Kann Defense: Tartakower Variation,White,0.0
https://lichess.org/kzOnUyGZ,https://lichess.org/kzOnUyGZ#9,rnbqkb1r/pp2pppp/2p2N2/8/3P4/8/PPP2PPP/R1BQKBNR b KQkq - 0 5,e4f6,100,19,B15,Caro-Kann Defense: Tartakower Variation,White,0.0
https://lichess.org/kzOnUyGZ,https://lichess.org/kzOnUyGZ#10,rnbqkb1r/pp3ppp/2p2p2/8/3P4/8/PPP2PPP/R1BQKBNR w KQkq - 0 6,e7f6,100,29,B15,Caro-Kann Defense: Tartakower Variation,White,0.0
https://lichess.org/kzOnUyGZ,https://lichess.org/kzOnUyGZ#11,rnbqkb1r/pp3ppp/2p2p2/8/3P4/2P5/PP3PPP/R1BQKBNR b KQkq - 0 6,c2c3,100,28,B15,Caro-Kann Defense: Tartakower Variation,White,0.0
https://lichess.org/kzOnUyGZ,https://lichess.org/kzOnUyGZ#12,rnbqk2r/pp2bppp/2p2p2/8/3P4/2P5/PP3PPP/R1BQKBNR w KQkq - 1 7,f8e7,75,57,B15,Caro-Kann Defense: Tartakower Variation,White,0.0
https://lichess.org/kzOnUyGZ,https://lichess.org/kzOnUyGZ#13,rnbqk2r/pp2bppp/2p2p2/8/3P4/2P2N2/PP3PPP/R1BQKB1R b KQkq - 2 7,g1f3,75,19,B15,Caro-Kann Defense: Tartakower Variation,White,0.0
https://lichess.org/kzOnUyGZ,https://lichess.org/kzOnUyGZ#14,rnbq1rk1/pp2bppp/2p2p2/8/3P4/2P2N2/PP3PPP/R1BQKB1R w KQ - 3 8,e8g8,100,36,B15,Caro-Kann Defense: Tartakower Variation,White,0.0
https://lichess.org/kzOnUyGZ,https://lichess.org/kzOnUyGZ#15,rnbq1rk1/pp2bppp/2p2p2/8/3P4/2PB1N2/PP3PPP/R1BQK2R b KQ - 4 8,f1d3,75,5,B15,Caro-Kann Defense: Tartakower Variation,White,0.0
https://lichess.org/kzOnUyGZ,https://lichess.org/kzOnUyGZ#16,rn1q1rk1/pp2bppp/2p2p2/8/3P2b1/2PB1N2/PP3PPP/R1BQK2R w KQ - 5 9,c8g4,50,68,B15,Caro-Kann Defense: Tartakower Variation,White,0.0
https://lichess.org/kzOnUyGZ,https://lichess.org/kzOnUyGZ#17,rn1q1rk1/pp2bppp/2p2p2/8/3P2b1/2PB1N1P/PP3PP1/R1BQK2R b KQ - 0 9,h2h3,75,30,B15,Caro-Kann Defense: Tartakower Variation,White,0.0
https://lichess.org/kzOnUyGZ,https://lichess.org/kzOnUyGZ#18,rn1q1rk1/pp2bppp/2p2p2/8/3P4/2PB1b1P/PP3PP1/R1BQK2R w KQ - 0 10,g4f3,0,224,B15,Caro-Kann Defense: Tartakower Variation,White,0.0
https://lichess.org/kzOnUyGZ,https://lichess.org/kzOnUyGZ#19,rn1q1rk1/pp2bppp/2p2p2/8/3P4/2PB1Q1P/PP3PP1/R1B1K2R b KQ - 0 10,d1f3,0,116,B15,Caro-Kann Defense: Tartakower Variation,White,0.0
https://lichess.org/kzOnUyGZ,https://lichess.org/kzOnUyGZ#20,r2q1rk1/pp1nbppp/2p2p2/8/3P4/2PB1Q1P/PP3PP1/R1B1K2R w KQ - 1 11,b8d7,100,135,B15,Caro-Kann Defense: Tartakower Variation,White,0.0
https://lichess.org/gfSJwFZA,https://lichess.org/gfSJwFZA#1,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e2e4,0,27,C34,King's Gambit Accepted: MacLeod Defense,Black,0.0
https://lichess.org/gfSJwFZA,https://lichess.org/gfSJwFZA#2,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e7e5,100,29,C34,King's Gambit Accepted: MacLeod Defense,Black,0.0
https://lichess.org/gfSJwFZA,https://lichess.org/gfSJwFZA#3,rnbqkbnr/pppp1ppp/8/4p3/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2,f2f4,25,-49,C34,King's Gambit Accepted: MacLeod Defense,Black,0.0
https://lichess.org/gfSJwFZA,https://lichess.org/gfSJwFZA#4,rnbqkbnr/pppp1ppp/8/8/4Pp2/8/PPPP2PP/RNBQKBNR w KQkq - 0 3,e5f4,100,-53,C34,King's Gambit Accepted: MacLeod Defense,Black,0.0
https://lichess.org/gfSJwFZA,https://lichess.org/gfSJwFZA#5,rnbqkbnr/pppp1ppp/8/8/4Pp2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 3,g1f3,100,-74,C34,King's Gambit Accepted: MacLeod Defense,Black,0.0
https://lichess.org/gfSJwFZA,https://lichess.org/gfSJwFZA#6,r1bqkbnr/pppp1ppp/2n5/8/4Pp2/5N2/PPPP2PP/RNBQKB1R w KQkq - 2 4,b8c6,0,54,C34,King's Gambit Accepted: MacLeod Defense,Black,0.0
https://lichess.org/gfSJwFZA,https://lichess.org/gfSJwFZA#7,r1bqkbnr/pppp1ppp/2n5/8/3PPp2/5N2/PPP3PP/RNBQKB1R b KQkq - 0 4,d2d4,100,53,C34,King's Gambit Accepted: MacLeod Defense,Black,0.0
https://lichess.org/gfSJwFZA,https://lichess.org/gfSJwFZA#8,r1bqk1nr/pppp1ppp/2n5/8/1b1PPp2/5N2/PPP3PP/RNBQKB1R w KQkq - 1 5,f8b4,50,108,C34,King's Gambit Accepted: MacLeod Defense,Black,0.0
https://lichess.org/gfSJwFZA,https://lichess.org/gfSJwFZA#9,r1bqk1nr/pppp1ppp/2n5/8/1b1PPp2/2P2N2/PP4PP/RNBQKB1R b KQkq - 0 5,c2c3,100,125,C34,King's Gambit Accepted: MacLeod Defense,Black,0.0
https://lichess.org/gfSJwFZA,https://lichess.org/gfSJwFZA#10,r1bqk1nr/pppp1ppp/2n5/b7/3PPp2/2P2N2/PP4PP/RNBQKB1R w KQkq - 1 6,b4a5,50,178,C34,King's Gambit Accepted: MacLeod Defense,Black,0.0
https://lichess.org/gfSJwFZA,https://lichess.org/gfSJwFZA#11,r1bqk1nr/pppp1ppp/2n5/b7/3PPB2/2P2N2/PP4PP/RN1QKB1R b KQkq - 0 6,c1f4,75,150,C34,King's Gambit Accepted: MacLeod Defense,Black,0.0
https://lichess.org/gfSJwFZA,https://lichess.org/gfSJwFZA#12,r1bqk1nr/ppp2ppp/2np4/b7/3PPB2/2P2N2/PP4PP/RN1QKB1R w KQkq - 0 7,d7d6,25,244,C34,King's Gambit Accepted: MacLeod Defense,Black,0.0
https://lichess.org/gfSJwFZA,https://lichess.org/gfSJwFZA#13,r1bqk1nr/ppp2ppp/2np4/bB6/3PPB2/2P2N2/PP4PP/RN1QK2R b KQkq - 1 7,f1b5,0,124,C34,King's Gambit Accepted: MacLeod Defense,Black,0.0
https://lichess.org/gfSJwFZA,https://lichess.org/gfSJwFZA#14,r2qk1nr/pppb1ppp/2np4/bB6/3PPB2/2P2N2/PP4PP/RN1QK2R w KQkq - 2 8,c8d7,50,186,C34,King's Gambit Accepted: MacLeod Defense,Black,0.0
https://lichess.org/gfSJwFZA,https://lichess.org/gfSJwFZA#15,r2qk1nr/pppb1ppp/2np4/bB6/3PPB2/2P2N2/PP4PP/RN1Q1RK1 b kq - 3 8,e1g1,75,138,C34,King's Gambit Accepted: MacLeod Defense,Black,0.0
https://lichess.org/gfSJwFZA,https://lichess.org/gfSJwFZA#16,r2qk2r/pppb1ppp/2np1n2/bB6/3PPB2/2P2N2/PP4PP/RN1Q1RK1 w kq - 4 9,g8f6,50,203,C34,King's Gambit Accepted: MacLeod Defense,Black,0.0
https://lichess.org/gfSJwFZA,https://lichess.org/gfSJwFZA#17,r2qk2r/pppb1ppp/2np1n2/bB6/3PPB2/2P2N2/PP1N2PP/R2Q1RK1 b kq - 5 9,b1d2,0,91,C34,King's Gambit Accepted: MacLeod Defense,Black,0.0
https://lichess.org/gfSJwFZA,https://lichess.org/gfSJwFZA#18,r2q1rk1/pppb1ppp/2np1n2/bB6/3PPB2/2P2N2/PP1N2PP/R2Q1RK1 w - - 6 10,e8g8,25,180,C34,King's Gambit Accepted: MacLeod Defense,Black,0.0
https://lichess.org/gfSJwFZA,https://lichess.org/gfSJwFZA#19,r2q1rk1/pppb1ppp/2np1n2/bB4B1/3PP3/2P2N2/PP1N2PP/R2Q1RK1 b - - 7 10,f4g5,100,160,C34,King's Gambit Accepted: MacLeod Defense,Black,0.0
https://lichess.org/gfSJwFZA,https://lichess.org/gfSJwFZA#20,r2q1rk1/pppb1pp1/2np1n1p/bB4B1/3PP3/2P2N2/PP1N2PP/R2Q1RK1 w - - 0 11,h7h6,75,202,C34,King's Gambit Accepted: MacLeod Defense,Black,0.0
https://lichess.org/I0PB38H2,https://lichess.org/I0PB38H2#1,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d2d4,0,31,A84,Dutch Defense: Normal Variation,Black,1.0
https://lichess.org/I0PB38H2,https://lichess.org/I0PB38H2#2,rnbqkbnr/ppppp1pp/8/5p2/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,f7f5,75,64,A84,Dutch Defense: Normal Variation,Black,1.0
https://lichess.org/I0PB38H2,https://lichess.org/I0PB38H2#3,rnbqkbnr/ppppp1pp/8/5p2/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,c2c4,100,57,A84,Dutch Defense: Normal Variation,Black,1.0
https://lichess.org/I0PB38H2,https://lichess.org/I0PB38H2#4,rnbqkb1r/ppppp1pp/5n2/5p2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,g8f6,100,51,A84,Dutch Defense: Normal Variation,Black,1.0
https://lichess.org/I0PB38H2,https://lichess.org/I0PB38H2#5,rnbqkb1r/ppppp1pp/5n2/5p2/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 2 3,g1f3,100,53,A84,Dutch Defense: Normal Variation,Black,1.0
https://lichess.org/I0PB38H2,https://lichess.org/I0PB38H2#6,rnbqkb1r/ppp1p1pp/3p1n2/5p2/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4,d7d6,25,132,A84,Dutch Defense: Normal Variation,Black,1.0
https://lichess.org/I0PB38H2,https://lichess.org/I0PB38H2#7,rnbqkb1r/ppp1p1pp/3p1n2/5p2/2PP4/5NP1/PP2PP1P/RNBQKB1R b KQkq - 0 4,g2g3,25,44,A84,Dutch Defense: Normal Variation,Black,1.0
https://lichess.org/I0PB38H2,https://lichess.org/I0PB38H2#8,rnbqkb1r/ppp1p2p/3p1np1/5p2/2PP4/5NP1/PP2PP1P/RNBQKB1R w KQkq - 0 5,g7g6,75,71,A84,Dutch Defense: Normal Variation,Black,1.0
https://lichess.org/I0PB38H2,https://lichess.org/I0PB38H2#9,rnbqkb1r/ppp1p2p/3p1np1/5p2/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq - 1 5,f1g2,75,39,A84,Dutch Defense: Normal Variation,Black,1.0
https://lichess.org/I0PB38H2,https://lichess.org/I0PB38H2#10,rnbqk2r/ppp1p1bp/3p1np1/5p2/2PP4/5NP1/PP2PPBP/RNBQK2R w KQkq - 2 6,f8g7,25,120,A84,Dutch Defense: Normal Variation,Black,1.0
https://lichess.org/I0PB38H2,https://lichess.org/I0PB38H2#11,rnbqk2r/ppp1p1bp/3p1np1/5p2/2PP4/4PNP1/PP3PBP/RNBQK2R b KQkq - 0 6,e2e3,0,-350,A84,Dutch Defense: Normal Variation,Black,1.0
https://lichess.org/I0PB38H2,https://lichess.org/I0PB38H2#12,rnbq1rk1/ppp1p1bp/3p1np1/5p2/2PP4/4PNP1/PP3PBP/RNBQK2R w KQ - 1 7,e8g8,0,51,A84,Dutch Defense: Normal Variation,Black,1.0
https://lichess.org/I0PB38H2,https://lichess.org/I0PB38H2#13,rnbq1rk1/ppp1p1bp/3p1np1/5p2/2PP4/4PNP1/PP3PBP/RNBQ1RK1 b - - 2 7,e1g1,75,20,A84,Dutch Defense: Normal Variation,Black,1.0
https://lichess.org/I0PB38H2,https://lichess.org/I0PB38H2#14,r1bq1rk1/ppp1p1bp/2np1np1/5p2/2PP4/4PNP1/PP3PBP/RNBQ1RK1 w - - 3 8,b8c6,100,20,A84,Dutch Defense: Normal Variation,Black,1.0
https://lichess.org/I0PB38H2,https://lichess.org/I0PB38H2#15,r1bq1rk1/ppp1p1bp/2np1np1/5p2/2PP4/2N1PNP1/PP3PBP/R1BQ1RK1 b - - 4 8,b1c3,100,15,A84,Dutch Defense: Normal Variation,Black,1.0
https://lichess.org/I0PB38H2,https://lichess.org/I0PB38H2#16,r1bq1rk1/ppp3bp/2np1np1/4pp2/2PP4/2N1PNP1/PP3PBP/R1BQ1RK1 w - - 0 9,e7e5,100,10,A84,Dutch Defense: Normal Variation,Black,1.0
https://lichess.org/I0PB38H2,https://lichess.org/I0PB38H2#17,r1bq1rk1/ppp3bp/2np1np1/4Pp2/2P5/2N1PNP1/PP3PBP/R1BQ1RK1 b - - 0 9,d4e5,100,-7,A84,Dutch Defense: Normal Variation,Black,1.0
https://lichess.org/I0PB38H2,https://lichess.org/I0PB38H2#18,r1bq1rk1/ppp3bp/2n2np1/4pp2/2P5/2N1PNP1/PP3PBP/R1BQ1RK1 w - - 0 10,d6e5,75,-44,A84,Dutch Defense: Normal Variation,Black,1.0
https://lichess.org/I0PB38H2,https://lichess.org/I0PB38H2#19,r1bq1rk1/ppp3bp/2n2np1/4pp2/2P5/1PN1PNP1/P4PBP/R1BQ1RK1 b - - 0 10,b2b3,0,-515,A84,Dutch Defense: Normal Variation,Black,1.0
https://lichess.org/I0PB38H2,https://lichess.org/I0PB38H2#20,r1bq1rk1/ppp3bp/2n2np1/5p2/2P1p3/1PN1PNP1/P4PBP/R1BQ1RK1 w - - 0 11,e5e4,0,-44,A84,Dutch Defense: Normal Variation,Black,1.0
https://lichess.org/yoIVwhvQ,https://lichess.org/yoIVwhvQ#1,rnbqkbnr/pppppppp/8/8/5P2/8/PPPPP1PP/RNBQKBNR b KQkq - 0 1,f2f4,100,-32,A03,Bird Opening: Dutch Variation,Black,1.0
https://lichess.org/yoIVwhvQ,https://lichess.org/yoIVwhvQ#2,rnbqkbnr/ppp1pppp/8/3p4/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 0 2,d7d5,100,-27,A03,Bird Opening: Dutch Variation,Black,1.0
https://lichess.org/yoIVwhvQ,https://lichess.org/yoIVwhvQ#3,rnbqkbnr/ppp1pppp/8/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R b KQkq - 1 2,g1f3,100,-32,A03,Bird Opening: Dutch Variation,Black,1.0
https://lichess.org/yoIVwhvQ,https://lichess.org/yoIVwhvQ#4,r1bqkbnr/ppp1pppp/2n5/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R w KQkq - 2 3,b8c6,75,-4,A03,Bird Opening: Dutch Variation,Black,1.0
https://lichess.org/yoIVwhvQ,https://lichess.org/yoIVwhvQ#5,r1bqkbnr/ppp1pppp/2n5/3p4/5P2/5N1P/PPPPP1P1/RNBQKB1R b KQkq - 0 3,h2h3,50,-79,A03,Bird Opening: Dutch Variation,Black,1.0
https://lichess.org/yoIVwhvQ,https://lichess.org/yoIVwhvQ#6,r1bqkb1r/ppp1pppp/2n2n2/3p4/5P2/5N1P/PPPPP1P1/RNBQKB1R w KQkq - 1 4,g8f6,75,-37,A03,Bird Opening: Dutch Variation,Black,1.0
https://lichess.org/yoIVwhvQ,https://lichess.org/yoIVwhvQ#7,r1bqkb1r/ppp1pppp/2n2n2/3p4/5PP1/5N1P/PPPPP3/RNBQKB1R b KQkq - 0 4,g2g4,0,-244,A03,Bird Opening: Dutch Variation,Black,1.0
https://lichess.org/yoIVwhvQ,https://lichess.org/yoIVwhvQ#8,r1bqkb1r/ppp1ppp1/2n2n1p/3p4/5PP1/5N1P/PPPPP3/RNBQKB1R w KQkq - 0 5,h7h6,0,-27,A03,Bird Opening: Dutch Variation,Black,1.0
https://lichess.org/yoIVwhvQ,https://lichess.org/yoIVwhvQ#9,r1bqkb1r/ppp1ppp1/2n2n1p/3p4/5PP1/5N1P/PPPPP1B1/RNBQK2R b KQkq - 1 5,f1g2,0,-221,A03,Bird Opening: Dutch Variation,Black,1.0
https://lichess.org/yoIVwhvQ,https://lichess.org/yoIVwhvQ#10,r1bqkb1r/ppp2pp1/2n1pn1p/3p4/5PP1/5N1P/PPPPP1B1/RNBQK2R w KQkq - 0 6,e7e6,0,-10,A03,Bird Opening: Dutch Variation,Black,1.0
https://lichess.org/yoIVwhvQ,https://lichess.org/yoIVwhvQ#11,r1bqkb1r/ppp2pp1/2n1pn1p/3p4/5PP1/3P1N1P/PPP1P1B1/RNBQK2R b KQkq - 0 6,d2d3,0,-135,A03,Bird Opening: Dutch Variation,Black,1.0
https://lichess.org/yoIVwhvQ,https://lichess.org/yoIVwhvQ#12,r1bqk2r/ppp2pp1/2n1pn1p/2bp4/5PP1/3P1N1P/PPP1P1B1/RNBQK2R w KQkq - 1 7,f8c5,0,4,A03,Bird Opening: Dutch Variation,Black,1.0
https://lichess.org/yoIVwhvQ,https://lichess.org/yoIVwhvQ#13,r1bqk2r/ppp2pp1/2n1pn1p/2bp4/5PP1/2NP1N1P/PPP1P1B1/R1BQK2R b KQkq - 2 7,b1c3,50,-69,A03,Bird Opening: Dutch Variation,Black,1.0
https://lichess.org/yoIVwhvQ,https://lichess.org/yoIVwhvQ#14,r1bqk2r/ppp2pp1/2nbpn1p/3p4/5PP1/2NP1N1P/PPP1P1B1/R1BQK2R w KQkq - 3 8,c5d6,25,26,A03,Bird Opening: Dutch Variation,Black,1.0
https://lichess.org/yoIVwhvQ,https://lichess.org/yoIVwhvQ#15,r1bqk2r/ppp2pp1/2nbpn1p/1N1p4/5PP1/3P1N1P/PPP1P1B1/R1BQK2R b KQkq - 4 8,c3b5,50,-47,A03,Bird Opening: Dutch Variation,Black,1.0
https://lichess.org/yoIVwhvQ,https://lichess.org/yoIVwhvQ#16,r1bqk2r/1pp2pp1/p1nbpn1p/1N1p4/5PP1/3P1N1P/PPP1P1B1/R1BQK2R w KQkq - 0 9,a7a6,50,16,A03,Bird Opening: Dutch Variation,Black,1.0
https://lichess.org/yoIVwhvQ,https://lichess.org/yoIVwhvQ#17,r1bqk2r/1pp2pp1/p1nNpn1p/3p4/5PP1/3P1N1P/PPP1P1B1/R1BQK2R b KQkq - 0 9,b5d6,100,25,A03,Bird Opening: Dutch Variation,Black,1.0
https://lichess.org/yoIVwhvQ,https://lichess.org/yoIVwhvQ#18,r1b1k2r/1pp2pp1/p1nqpn1p/3p4/5PP1/3P1N1P/PPP1P1B1/R1BQK2R w KQkq - 0 10,d8d6,0,302,A03,Bird Opening: Dutch Variation,Black,1.0
https://lichess.org/yoIVwhvQ,https://lichess.org/yoIVwhvQ#19,r1b1k2r/1pp2pp1/p1nqpn1p/3p4/5PP1/3PBN1P/PPP1P1B1/R2QK2R b KQkq - 1 10,c1e3,0,-17,A03,Bird Opening: Dutch Variation,Black,1.0
https://lichess.org/yoIVwhvQ,https://lichess.org/yoIVwhvQ#20,r3k2r/1ppb1pp1/p1nqpn1p/3p4/5PP1/3PBN1P/PPP1P1B1/R2QK2R w KQkq - 2 11,c8d7,50,55,A03,Bird Opening: Dutch Variation,Black,1.0
https://lichess.org/ki59yvG1,https://lichess.org/ki59yvG1#1,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e2e4,75,27,B06,Modern Defense: Pseudo-Austrian Attack,White,0.0
https://lichess.org/ki59yvG1,https://lichess.org/ki59yvG1#2,rnbqkbnr/pppppp1p/6p1/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,g7g6,75,67,B06,Modern Defense: Pseudo-Austrian Attack,White,0.0
https://lichess.org/ki59yvG1,https://lichess.org/ki59yvG1#3,rnbqkbnr/pppppp1p/6p1/8/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2,b1c3,100,44,B06,Modern Defense: Pseudo-Austrian Attack,White,0.0
https://lichess.org/ki59yvG1,https://lichess.org/ki59yvG1#4,rnbqk1nr/ppppppbp/6p1/8/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 2 3,f8g7,100,65,B06,Modern Defense: Pseudo-Austrian Attack,White,0.0
https://lichess.org/ki59yvG1,https://lichess.org/ki59yvG1#5,rnbqk1nr/ppppppbp/6p1/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 3,d2d4,100,68,B06,Modern Defense: Pseudo-Austrian Attack,White,0.0
